Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
2021-01-07T02:00,0.455,0.700,4.250,5.473,45.43,27.750
2021-01-07T02:30,0.425,0.690,3.967,5.517,29.43,27.500
2021-01-07T03:00,0.436,0.890,4.255,6.336,19.43,27.600
2021-01-07T03:30,0.407,0.690,4.229,5.693,15.43,27.550
2021-01-07T04:00,0.440,0.790,4.396,5.039,21.43,27.600
2021-01-07T04:30,0.387,0.940,4.665,5.292,14.43,27.600
2021-01-07T05:00,0.376,0.620,4.372,5.329,36.43,27.700
2021-01-07T05:30,0.368,0.570,4.447,5.489,39.43,27.850
2021-01-07T06:00,0.361,0.660,4.450,5.821,47.43,27.950
2021-01-07T06:30,0.361,0.570,4.683,6.552,12.43,27.750
2021-01-07T07:00,0.348,0.650,4.477,6.270,26.43,27.650
2021-01-07T07:30,0.365,0.670,4.505,5.034,28.43,27.550
2021-01-07T08:00,0.334,0.610,4.487,4.870,35.43,27.550
2021-01-07T08:30,0.321,0.520,4.456,5.196,33.43,27.550
2021-01-07T09:00,0.310,0.550,4.454,5.066,18.43,27.650
2021-01-07T09:30,0.320,0.620,4.566,5.086,36.43,27.850
2021-01-07T10:00,0.298,0.630,4.479,5.743,30.43,28.100
2021-01-07T10:30,0.310,0.550,4.548,4.967,39.43,28.350
2021-01-07T11:00,0.284,0.560,4.548,4.920,19.43,28.600
2021-01-07T11:30,0.321,0.600,4.494,6.133,35.43,28.750
2021-01-07T12:00,0.326,0.590,4.512,4.929,15.43,29.000
2021-01-07T12:30,0.350,0.760,4.466,4.696,28.43,29.300
2021-01-07T13:00,0.365,0.580,4.616,5.224,37.43,29.700
2021-01-07T13:30,0.334,0.620,4.412,5.153,22.43,29.950
2021-01-07T14:00,0.358,0.610,4.402,4.290,26.43,30.150
2021-01-07T14:30,0.349,0.600,4.268,5.219,54.43,29.900
2021-01-07T15:00,0.325,0.550,3.978,5.063,23.43,30.100
2021-01-07T15:30,0.324,0.530,3.768,5.189,39.43,29.550
2021-01-07T16:00,0.315,0.580,3.821,5.618,32.43,29.300
2021-01-07T16:30,0.307,0.490,3.681,5.088,32.43,29.250
2021-01-07T17:00,0.310,0.560,3.783,4.821,25.43,29.350
2021-01-07T17:30,0.320,0.510,3.622,5.218,39.43,29.300
2021-01-07T18:00,0.308,0.470,3.283,4.820,42.43,29.400
2021-01-07T18:30,0.301,0.520,3.210,5.352,35.43,29.350
2021-01-07T19:00,0.329,0.650,3.492,4.867,53.43,29.250
2021-01-07T19:30,0.329,0.530,3.216,5.213,39.43,29.250
2021-01-07T20:00,0.348,0.660,3.164,5.109,40.43,29.250
2021-01-07T20:30,0.396,0.770,3.091,2.841,33.43,29.200
2021-01-07T21:00,0.399,0.660,3.376,4.814,70.43,29.150
2021-01-07T21:30,0.394,0.700,3.293,4.945,67.43,29.100
2021-01-07T22:00,0.394,0.770,3.504,3.355,37.43,28.900
2021-01-07T22:30,0.404,0.770,3.545,3.585,54.43,28.700
2021-01-07T23:00,0.415,0.720,3.535,3.477,74.43,28.750
2021-01-07T23:30,0.456,0.900,3.490,3.542,78.43,29.050
2021-01-08T00:00,0.471,0.930,3.339,3.884,71.43,28.950
2021-01-08T00:30,0.459,0.940,3.342,3.688,88.43,28.950
2021-01-08T01:00,0.469,0.890,3.193,3.882,81.43,28.800
2021-01-08T01:30,0.445,0.770,3.058,3.143,77.43,28.750
2021-01-08T02:00,0.438,0.680,3.011,3.938,94.43,28.800
2021-01-08T02:30,0.406,0.760,3.089,3.876,80.43,28.800
2021-01-08T03:00,0.383,0.680,3.074,3.680,74.43,28.800
2021-01-08T03:30,0.393,0.680,3.022,4.953,81.43,28.850
2021-01-08T04:00,0.413,0.650,3.100,4.828,82.43,28.850
2021-01-08T04:30,0.407,0.810,3.047,3.527,49.43,28.850
2021-01-08T05:00,0.440,0.740,3.106,5.133,64.43,28.850
2021-01-08T05:30,0.491,0.850,2.914,2.724,88.43,28.800
2021-01-08T06:00,0.630,1.280,3.071,3.746,130.43,28.800
2021-01-08T06:30,0.667,1.100,3.257,3.883,106.43,28.800
2021-01-08T07:00,0.756,1.180,3.379,3.866,111.43,28.800
2021-01-08T07:30,0.756,1.400,3.360,4.124,120.43,28.750
2021-01-08T08:00,0.715,1.360,3.428,3.800,115.43,28.750
2021-01-08T08:30,0.607,1.160,3.184,3.957,108.43,28.700
2021-01-08T09:00,0.592,1.010,3.143,3.757,109.43,28.700
2021-01-08T09:30,0.555,1.130,3.079,3.495,116.43,28.700
2021-01-08T10:00,0.505,0.870,3.023,3.413,111.43,28.700
2021-01-08T10:30,0.429,0.730,2.985,3.203,116.43,28.700
2021-01-08T11:00,0.368,0.750,3.074,3.210,123.43,28.700
2021-01-08T11:30,0.344,0.520,2.965,3.076,125.43,28.700
2021-01-08T12:00,0.350,0.600,2.793,2.392,122.43,28.750
2021-01-08T12:30,0.307,0.570,2.696,2.678,77.43,28.750
2021-01-08T13:00,0.321,0.530,2.802,2.494,98.43,28.800
2021-01-08T13:30,0.326,0.660,2.983,2.480,42.43,28.850
2021-01-08T14:00,0.399,0.850,3.178,3.250,47.43,28.900
2021-01-08T14:30,0.485,0.970,3.284,3.656,28.43,28.950
2021-01-08T15:00,0.465,0.780,3.395,4.033,32.43,28.900
2021-01-08T15:30,0.498,0.910,3.437,4.201,29.43,28.850
2021-01-08T16:00,0.458,0.840,3.396,3.747,28.43,28.850
2021-01-08T16:30,0.450,0.730,3.414,3.558,45.43,28.800
2021-01-08T17:00,0.428,0.830,3.514,3.770,30.43,28.800
2021-01-08T17:30,0.360,0.610,3.579,3.790,45.43,28.900
2021-01-08T18:00,0.358,0.660,3.522,3.464,98.43,28.950
2021-01-08T18:30,0.321,0.520,3.082,3.421,57.43,28.750
2021-01-08T19:00,0.340,0.610,2.955,4.387,32.43,28.700
2021-01-08T19:30,0.312,0.550,2.736,2.005,91.43,28.700
2021-01-08T20:00,0.358,0.680,2.689,2.423,136.43,28.700
2021-01-08T20:30,0.375,0.620,2.813,3.051,85.43,28.700
2021-01-08T21:00,0.371,0.570,2.788,2.648,118.43,28.650
2021-01-08T21:30,0.408,0.650,2.782,2.796,97.43,28.600
2021-01-08T22:00,0.403,0.730,2.778,2.940,126.43,28.600
2021-01-08T22:30,0.400,0.710,2.731,2.835,109.43,28.550
